date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-06-21 00:00:00+00:00,32.4,32.56,30.3,31.18,180351,32.4,32.56,30.3,31.18,180351,0,1
2021-06-22 00:00:00+00:00,33.06,33.51,31.54,32.57,170799,33.06,33.51,31.54,32.57,170799,0,1
2021-06-23 00:00:00+00:00,33.13,33.83,31.67,32.8,270623,33.13,33.83,31.67,32.8,270623,0,1
2021-06-24 00:00:00+00:00,32.97,34.08,32.29,33.69,181992,32.97,34.08,32.29,33.69,181992,0,1
2021-06-25 00:00:00+00:00,31.9,33.17,31.22,33.14,424703,31.9,33.17,31.22,33.14,424703,0,1
2021-06-28 00:00:00+00:00,31.99,32.71,31.76,32.41,70015,31.99,32.71,31.76,32.41,70015,0,1
2021-06-29 00:00:00+00:00,30.02,32.94,29.96,31.99,116981,30.02,32.94,29.96,31.99,116981,0,1
2021-06-30 00:00:00+00:00,28.63,30.24,28.26,29.95,196795,28.63,30.24,28.26,29.95,196795,0,1
2021-07-01 00:00:00+00:00,28.6,29.23,28.25,28.85,216430,28.6,29.23,28.25,28.85,216430,0,1
2021-07-02 00:00:00+00:00,27.77,28.88,27.68,28.62,147252,27.77,28.88,27.68,28.62,147252,0,1
2021-07-06 00:00:00+00:00,27.0,28.97,26.76,27.8,119563,27.0,28.97,26.76,27.8,119563,0,1
2021-07-07 00:00:00+00:00,26.7,27.95,25.94,27.0,145126,26.7,27.95,25.94,27.0,145126,0,1
2021-07-08 00:00:00+00:00,27.57,28.1,25.28,26.09,115530,27.57,28.1,25.28,26.09,115530,0,1
2021-07-09 00:00:00+00:00,28.5,28.85,27.22,27.38,72134,28.5,28.85,27.22,27.38,72134,0,1
2021-07-12 00:00:00+00:00,27.72,28.84,27.34,28.52,63393,27.72,28.84,27.34,28.52,63393,0,1
2021-07-13 00:00:00+00:00,26.92,28.37,26.825,27.55,92263,26.92,28.37,26.825,27.55,92263,0,1
